municipality,url,org_number,population
Stockholm,https://stockholm.se,212000-0142,975551
Göteborg,https://goteborg.se,212000-1355,579281
Malmö,https://malmo.se,212000-1124,347949
Uppsala,https://uppsala.se,212000-2817,230767
Västerås,https://vasteras.se,212000-0100,154049
Örebro,https://orebro.se,212000-0100,156381
Linköping,https://linkoping.se,212000-0100,164616
Helsingborg,https://helsingborg.se,212000-1281,149280
Jönköping,https://jonkoping.se,212000-0100,141081
Norrköping,https://norrkoping.se,212000-0100,143171 